feature,group,role,signal_direction,marginal_ic,marginal_t,marginal_hit_rate,marginal_n_weeks,corr_with_base,incremental_ic_vs_base,incremental_t,incremental_hit_rate,incremental_n_weeks,decision_reason
adv_60d,liquidity,base,positive,0.0124770950087632,2.5886553730545043,0.6610878661087866,478,1.0,,,,0,base: strongest stable marginal
adv_20d,liquidity,dropped,positive,0.0115500872546846,2.3993717335999665,0.6506276150627615,478,0.962990793906894,0.0014565540664465,0.5476602018454994,0.5083682008368201,478,dropped: redundant and no incremental
adv_median_60d,liquidity,dropped,positive,0.0114807075977765,2.437385599385389,0.6422594142259415,478,0.972070850454604,-0.0016897506166188,-0.6448133970235198,0.5125523012552301,478,dropped: redundant and no incremental
turnover_ratio_20d,liquidity,dropped,negative,-0.0026436360565344,-0.9800116611096366,0.4832635983263598,478,0.0074123002400481,-0.0027997080109895,-1.042965123862144,0.4853556485355648,478,dropped: weak/unstable marginal
volume_zscore_20d,liquidity,dropped,negative,-0.0021844617454374,-0.8069885703321862,0.4916317991631799,478,0.0060349632360941,-0.0023459655846965,-0.8716938735586319,0.4874476987447699,478,dropped: weak/unstable marginal
ret_8w,momentum,addon,positive,0.0171854328835262,5.494353310850308,0.6422594142259415,478,0.3474215139533746,0.006370153702055,2.4984019209027286,0.5397489539748954,478,addon: low redundancy (corr<0.80)
ret_12m,momentum,base,positive,0.0338381073250002,6.0183499052768346,0.7364016736401674,478,1.0,,,,0,base: strongest stable marginal
excess_ret_3m_vs_index,momentum,dropped,positive,0.0171273045111375,4.82213685913195,0.6380753138075314,478,0.4610264134834415,0.0034807735435063,1.331627534696798,0.5104602510460251,478,dropped: weak/unstable marginal
ret_1m,momentum,dropped,positive,0.0119868560105424,4.292754774085276,0.5899581589958159,478,0.2222899447854335,0.0045031994247979,1.7475546336169412,0.5334728033472803,478,dropped: weak/unstable marginal
ret_1w,momentum,dropped,positive,0.0037847314356708,1.4611182027025988,0.5230125523012552,478,0.1136712270201786,-6.594850352854082e-05,-0.0262049864896363,0.50418410041841,478,dropped: weak/unstable marginal
ret_2w,momentum,dropped,positive,0.0098891794789542,3.725063021888597,0.5899581589958159,478,0.1495928536819872,0.004501499354471,1.734119696510334,0.5481171548117155,478,dropped: weak/unstable marginal
ret_3m,momentum,dropped,positive,0.0171273045111375,4.82213685913195,0.6380753138075314,478,0.4610264134834415,0.0034807735435063,1.331627534696798,0.5104602510460251,478,dropped: weak/unstable marginal
ret_6m,momentum,dropped,positive,0.0239963867026654,5.1808980402088185,0.696652719665272,478,0.6847057399416506,0.0016596087938616,0.5762097521950081,0.5,478,dropped: weak/unstable marginal
pct_above_50d_sma,trend,addon,positive,0.0150348624823799,5.0781104472590215,0.6317991631799164,478,0.7237535039922887,-0.0057993405594574,-1.9942968165240147,0.4330543933054393,478,addon: low redundancy (corr<0.80)
pct_above_200d_sma,trend,base,positive,0.0228665081117667,5.416962527175635,0.6694560669456067,478,1.0,,,,0,base: strongest stable marginal
adx_14,trend,dropped,negative,-0.0024400286252674,-0.8922993631861527,0.4958158995815899,478,0.146982247205901,-0.0186332335607376,-5.842884327963592,0.3640167364016736,478,dropped: weak/unstable marginal
bollinger_bw_20_2,trend,dropped,positive,0.0125179415569427,4.710166897420954,0.5941422594142259,478,0.46854616220193,-0.0003095980201645,-0.1164203869381862,0.4916317991631799,478,dropped: weak/unstable marginal
bollinger_pctb_20_2,trend,dropped,negative,-0.0006312960264888,-0.2495703442096891,0.4937238493723849,478,0.1243559942726638,-0.0036718551793602,-1.4500306802439251,0.4769874476987448,478,dropped: weak/unstable marginal
donchian_pos_20,trend,dropped,positive,0.0013334466943926,0.4985469313792781,0.5125523012552301,478,0.0848987456149285,-0.000916813406922,-0.3459933655178373,0.5,478,dropped: weak/unstable marginal
ema_slope_20d,trend,dropped,positive,0.0114422901816899,4.100943251701013,0.5983263598326359,478,0.6525180846383806,-0.003659001052695,-1.3382933572522215,0.4790794979079498,478,dropped: weak/unstable marginal
macd_hist_12_26_9,trend,dropped,positive,0.0101414810440193,2.633877960098454,0.6317991631799164,478,0.2215418420561562,0.0023344267507501,0.70136425702961,0.5481171548117155,478,dropped: weak/unstable marginal
pct_above_20d_sma,trend,dropped,positive,0.0090336311425214,3.3930906042875306,0.5962343096234309,478,0.4706321042074909,-0.003754558344396,-1.3805525764111308,0.4790794979079498,478,dropped: weak/unstable marginal
pct_from_52w_high,trend,dropped,positive,0.003042252274998,1.1431156908252849,0.5104602510460251,478,0.1812328398014689,0.0025794427208009,0.982984305448462,0.502092050209205,478,dropped: weak/unstable marginal
rsi_14,trend,dropped,positive,0.0042358910492289,1.6412229608342068,0.5292887029288703,478,0.1512224719350354,-0.0121987570946063,-3.807271417423821,0.3828451882845188,478,dropped: weak/unstable marginal
supertrend_state_10_3,trend,dropped,negative,-0.0589672037280474,-1.616433022301877,0.4666666666666667,30,0.1649476060402401,-0.0505341556456367,-2.5400264366224854,0.4333333333333333,30,dropped: weak/unstable marginal
atr_pct_14,volatility,base,positive,0.0111923904017892,4.196254005371185,0.5920502092050209,478,1.0,,,,0,base: strongest stable marginal
beta_60d,volatility,dropped,positive,0.0024018106433727,0.9068158536246697,0.5146443514644351,478,0.0123162461416926,0.0018402186926739,0.6949126300079609,0.5146443514644351,478,dropped: weak/unstable marginal
gk_vol_20d,volatility,dropped,negative,-0.0048933555133787,-1.8623876558714052,0.4497907949790795,478,-0.171389389307103,-0.0027671041680316,-1.0501096266144838,0.4707112970711297,478,dropped: weak/unstable marginal
hist_vol_20d,volatility,dropped,positive,0.003451725944119,1.2720075936977342,0.5271966527196653,478,0.101915607884188,0.0021969639967285,0.8073067551718633,0.5083682008368201,478,dropped: weak/unstable marginal
hist_vol_60d,volatility,dropped,positive,0.0031239216227846,1.136940357524693,0.5104602510460251,478,0.0445991820265054,0.0028810482103414,1.0514272698679663,0.502092050209205,478,dropped: weak/unstable marginal
hv_percentile_1y,volatility,dropped,positive,0.0007254040240026,0.2715663276136608,0.5157232704402516,477,0.0978618176138153,-0.0005790153003893,-0.2161133107727047,0.4947589098532495,477,dropped: weak/unstable marginal
