feature,coverage,ic_mean,tstat,pos_frac_adj,n_weeks,sign,abs_tstat
ret_1w,0.9925628111101293,-0.034317714226085844,-3.8526068326553453,0.6293706293706294,143,-1,3.8526068326553453
ret_1d,0.9998821831462991,-0.02807004642233203,-3.209961063110023,0.625,144,-1,3.209961063110023
ret_2w,0.9851992577538217,-0.02487462517225593,-2.7573663514006417,0.5563380281690141,142,-1,2.7573663514006417
pct_above_20d_sma,0.9770551677417455,-0.025208288705441426,-2.5984911008524563,0.5673758865248227,141,-1,2.5984911008524563
bollinger_pctb_20_2,0.9770109864216077,-0.02019170285552539,-2.3766295169876805,0.5531914893617021,141,-1,2.3766295169876805
rsi_14,0.9845659921651793,-0.019438787655134647,-2.3321895838239635,0.5774647887323944,142,-1,2.3321895838239635
adv_20d,0.9770551677417455,-0.017082837111462367,-1.9536716302681287,0.5673758865248227,141,-1,1.9536716302681287
ema_slope_20d,0.9925628111101293,-0.014215116588370996,-1.4317012049407207,0.5524475524475524,143,-1,1.4317012049407207
ret_1m,0.970221790227092,-0.013269495024999873,-1.3363717450057164,0.55,140,-1,1.3363717450057164
turnover_ratio_20d,0.9770109864216077,-0.005556731143114462,-1.0100359597742863,0.5602836879432624,141,-1,1.0100359597742863
